datetime,in ,out
2025-09-06 10:00:00+00:00,7,9
2025-09-06 11:00:00+00:00,50,54
2025-09-06 12:00:00+00:00,79,63
2025-09-06 13:00:00+00:00,122,102
2025-09-06 14:00:00+00:00,167,112
2025-09-06 15:00:00+00:00,79,57
2025-09-06 16:00:00+00:00,109,98
2025-09-06 17:00:00+00:00,117,111
2025-09-06 18:00:00+00:00,210,146
2025-09-06 19:00:00+00:00,157,138
2025-09-06 20:00:00+00:00,115,97
2025-09-06 21:00:00+00:00,27,18
2025-09-07 21:00:00+00:00,15,19
2025-09-07 22:00:00+00:00,2,3
2025-09-13 11:00:00+00:00,37,32
2025-09-13 12:00:00+00:00,61,50
2025-09-13 13:00:00+00:00,89,86
2025-09-13 14:00:00+00:00,91,71
2025-09-13 15:00:00+00:00,73,71
2025-09-13 16:00:00+00:00,96,121
2025-09-13 17:00:00+00:00,101,95
2025-09-13 18:00:00+00:00,117,83
2025-09-13 19:00:00+00:00,93,83
2025-09-13 20:00:00+00:00,93,91
2025-09-13 21:00:00+00:00,68,96
2025-09-13 22:00:00+00:00,0,2
2025-09-14 10:00:00+00:00,7,8
2025-09-14 11:00:00+00:00,68,59
2025-09-14 12:00:00+00:00,108,89
2025-09-14 13:00:00+00:00,148,103
2025-09-14 14:00:00+00:00,177,193
2025-09-14 15:00:00+00:00,116,137
2025-09-14 16:00:00+00:00,121,98
2025-09-14 17:00:00+00:00,135,92
2025-09-14 18:00:00+00:00,196,190
2025-09-14 19:00:00+00:00,103,104
2025-09-14 20:00:00+00:00,49,43
2025-09-14 21:00:00+00:00,23,23
2025-09-20 11:00:00+00:00,36,13
2025-09-20 12:00:00+00:00,198,85
2025-09-20 13:00:00+00:00,280,128
2025-09-20 14:00:00+00:00,202,71
2025-09-20 15:00:00+00:00,429,222
2025-09-20 16:00:00+00:00,257,117
2025-09-20 17:00:00+00:00,367,171
2025-09-20 18:00:00+00:00,496,217
2025-09-20 19:00:00+00:00,291,141
2025-09-20 20:00:00+00:00,195,91
2025-09-20 21:00:00+00:00,111,64
2025-09-20 22:00:00+00:00,12,7
2025-09-21 13:00:00+00:00,22,19
2025-09-21 14:00:00+00:00,189,164
2025-09-21 15:00:00+00:00,140,105
2025-09-21 16:00:00+00:00,152,200
2025-09-21 17:00:00+00:00,135,152
2025-09-21 18:00:00+00:00,109,129
2025-09-21 19:00:00+00:00,122,116
2025-09-21 20:00:00+00:00,94,100
2025-09-21 21:00:00+00:00,29,27
2025-09-27 10:00:00+00:00,44,29
2025-09-27 11:00:00+00:00,86,42
2025-09-27 12:00:00+00:00,158,74
2025-09-27 13:00:00+00:00,104,50
2025-09-27 14:00:00+00:00,150,65
2025-09-27 15:00:00+00:00,132,61
2025-09-27 16:00:00+00:00,92,51
2025-09-27 17:00:00+00:00,126,61
2025-09-27 18:00:00+00:00,324,161
2025-09-27 19:00:00+00:00,300,151
2025-09-27 20:00:00+00:00,142,72
2025-09-27 21:00:00+00:00,134,66
